URL,Property Name,Rating,Normal Price,Price after Discount,Number of remaining rooms,District
https://mamikos.com/room/kost-sleman-kost-putri-eksklusif-kost-singgahsini-kataji-tipe-a-sinduadi-yogyakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Kataji Tipe A Sinduadi Yogyakarta,4.7,Rp1.690.000,Rp1.639.300,Sisa 1 kamar,Mlati
https://mamikos.com/room/kost-jakarta-barat-kost-campur-eksklusif-kost-apik-coteca-binus-anggrek-tipe-a-rawa-belong-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Coteca BINUS Anggrek Tipe A Rawa Belong Jakarta Barat,4.4,Rp1.820.000,Rp1.729.000,Sisa 1 kamar,Kecamatan Palmerah
https://mamikos.com/room/kost-kota-jakarta-barat-kost-putri-eksklusif-kost-apik-meruya-selatan-tipe-a-kembangan-jakarta-barat?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Meruya Selatan Tipe A Kembangan Jakarta Barat,4.7,Rp1.390.000,Rp1.320.500,Sisa 1 kamar,Kecamatan Kembangan
https://mamikos.com/room/kost-tangerang-selatan-kost-putra-eksklusif-kost-singgahsini-stan-pjmi-tipe-a-pondok-aren-tangerang-selatan-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini STAN PJMI Tipe A Pondok Aren Tangerang Selatan,4.6,Rp1.300.000,Rp1.235.000,Sisa 1 kamar,Pondok Aren
https://mamikos.com/room/kost-sleman-kost-putri-eksklusif-kost-singgahsini-griya-shan-tipe-c-maguwoharjo-yogyakarta-2?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Griya Shan Tipe C Maguwoharjo Yogyakarta,0,Rp1.750.000,Rp1.662.500,Sisa 1 kamar,Depok
https://mamikos.com/room/kost-kabupaten-sleman-kost-putri-eksklusif-kost-singgahsini-rahayu-uny-tipe-b-yogyakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Rahayu UNY Tipe B Yogyakarta,4.9,Rp1.750.000,Rp1.575.000,Sisa 1 kamar,Kecamatan Depok
https://mamikos.com/room/kost-sleman-kost-putri-eksklusif-kost-singgahsini-griya-shan-tipe-d-maguwoharjo-yogyakarta-2?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Griya Shan Tipe D Maguwoharjo Yogyakarta,0,Rp1.650.000,Rp1.534.500,Sisa 4 kamar,Depok
https://mamikos.com/room/kost-surakarta-kost-putri-eksklusif-kost-apik-pajajaran-timur-14b-tipe-a-banjarsari-surakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Pajajaran Timur 14B Tipe A Banjarsari Surakarta,4.9,Rp1.300.000,Rp1.209.000,Sisa 3 kamar,Banjarsari
https://mamikos.com/room/kost-sleman-kost-putra-eksklusif-kost-singgahsini-prasetyo-uii-tipe-b-kaliurang-yogyakarta-2?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Prasetyo UII Tipe B Kaliurang Yogyakarta,0,Rp1.650.000,Rp1.485.000,Sisa 1 kamar,Ngaglik
https://mamikos.com/room/kost-kota-semarang-kost-putri-murah-kost-apik-melati-ii-tipe-b-banyumanik-semarang-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Melati II Tipe B Banyumanik Semarang,4.5,Rp800.000,Rp720.000,Sisa 1 kamar,Kecamatan Banyumanik
https://mamikos.com/room/kost-kota-semarang-kost-putri-eksklusif-kost-apik-ayomi-tipe-c-tembalang-semarang-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Ayomi Tipe C Tembalang Semarang,4.8,Rp1.325.000,Rp1.192.500,Sisa 1 kamar,Tembalang
https://mamikos.com/room/kost-sleman-kost-putra-murah-kost-apik-sinergi-tipe-b-yogyakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Sinergi Tipe B Yogyakarta,4.4,Rp800.000,Rp760.000,0,Ngemplak
https://mamikos.com/room/kost-kabupaten-sleman-kost-putra-murah-kost-apik-sinergi-tipe-c-yogyakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Sinergi Tipe C Yogyakarta,0,Rp700.000,Rp630.000,0,Ngemplak
https://mamikos.com/room/kost-sleman-kost-putri-eksklusif-kost-singgahsini-omah-daysa-tipe-a-yogyakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Omah Daysa Tipe A Yogyakarta,5.0,Rp1.700.000,Rp1.581.000,Sisa 2 kamar,Kecamatan Ngaglik
https://mamikos.com/room/kost-sukoharjo-kost-putri-eksklusif-kost-singgahsini-house-of-aoca-tipe-a-kartasura-sukoharjo-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini House of AOCA Tipe A Kartasura Sukoharjo,0,Rp1.100.000,Rp990.000,Sisa 1 kamar,Kartasura
https://mamikos.com/room/kost-sleman-kost-putra-murah-kost-apik-amalia-sardonoharjo-tipe-b-ngaglik-sleman-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Amalia Sardonoharjo Tipe B Ngaglik Sleman,4.4,Rp775.000,Rp697.500,Sisa 4 kamar,Ngaglik
https://mamikos.com/room/kost-sleman-kost-putra-eksklusif-kost-apik-amalia-sardonoharjo-tipe-a-ngaglik-sleman-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Amalia Sardonoharjo Tipe A Ngaglik Sleman,4.8,Rp1.200.000,Rp1.080.000,0,Ngaglik
https://mamikos.com/room/kost-sleman-kost-putri-eksklusif-kost-apik-asrama-ibu-suminah-tipe-a-pogung-yogyakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Asrama Ibu Suminah Tipe A Pogung Yogyakarta,4.3,Rp1.030.000,Rp999.100,0,Mlati
https://mamikos.com/room/kost-kota-surakarta-kost-putri-eksklusif-kost-singgahsini-graha-els-solo-square-tipe-a-surakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Graha Els Solo Square Tipe A Surakarta,4.7,Rp1.400.000,Rp1.260.000,Sisa 2 kamar,Laweyan
https://mamikos.com/room/kost-kota-surakarta-kost-putra-murah-kost-apik-omah-oma-syariah-tipe-c-laweyan-surakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Omah Oma Syariah Tipe C Laweyan Surakarta,4.4,Rp750.000,Rp675.000,0,Laweyan
https://mamikos.com/room/kost-sleman-kost-putri-eksklusif-kost-singgahsini-tamani-banteng-tipe-d-yogyakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Kataji Tipe A Sinduadi Yogyakarta,4.7,Rp1.690.000,Rp1.639.300,Sisa 1 kamar,Mlati
https://mamikos.com/room/kost-kota-semarang-kost-putri-eksklusif-kost-apik-v3-mulawarman-tipe-a-tembalang-semarang-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Coteca BINUS Anggrek Tipe A Rawa Belong Jakarta Barat,4.4,Rp1.820.000,Rp1.729.000,Sisa 1 kamar,Kecamatan Palmerah
https://mamikos.com/room/kost-kota-semarang-kost-putri-eksklusif-kost-apik-v3-mulawarman-tipe-b-tembalang-semarang-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Meruya Selatan Tipe A Kembangan Jakarta Barat,4.7,Rp1.390.000,Rp1.320.500,Sisa 1 kamar,Kecamatan Kembangan
https://mamikos.com/room/kost-sleman-kost-putra-eksklusif-kost-singgahsini-corongan-33a-tipe-a-maguwoharjo-yogyakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini STAN PJMI Tipe A Pondok Aren Tangerang Selatan,4.6,Rp1.300.000,Rp1.235.000,Sisa 1 kamar,Pondok Aren
https://mamikos.com/room/kost-kota-yogyakarta-kost-putri-eksklusif-kost-singgahsini-bumay-syariah-tipe-b-nitikan-yogyakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Griya Shan Tipe C Maguwoharjo Yogyakarta,0,Rp1.750.000,Rp1.662.500,Sisa 1 kamar,Depok
https://mamikos.com/room/kost-kota-surakarta-kost-putra-eksklusif-kost-singgahsini-satria-semanggi-tipe-a-surakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Rahayu UNY Tipe B Yogyakarta,4.9,Rp1.750.000,Rp1.575.000,Sisa 1 kamar,Kecamatan Depok
https://mamikos.com/room/kost-kabupaten-sukoharjo-kost-putri-eksklusif-kost-singgahsini-shasa-tipe-a-solobaru-sukoharjo?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Griya Shan Tipe D Maguwoharjo Yogyakarta,0,Rp1.650.000,Rp1.534.500,Sisa 4 kamar,Depok
https://mamikos.com/room/kost-kabupaten-sleman-kost-campur-eksklusif-kost-singgahsini-pondok-garini-syariah-tipe-b-yogyakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Pajajaran Timur 14B Tipe A Banjarsari Surakarta,4.9,Rp1.300.000,Rp1.209.000,Sisa 3 kamar,Banjarsari
https://mamikos.com/room/kost-kota-surakarta-kost-campur-eksklusif-kost-singgahsini-carissa-nusukan-tipe-a-banjarsari-surakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Prasetyo UII Tipe B Kaliurang Yogyakarta,0,Rp1.650.000,Rp1.485.000,Sisa 1 kamar,Ngaglik
https://mamikos.com/room/kost-sleman-kost-putri-eksklusif-kost-singgahsini-aline-green-mansion-tipe-a-condongcatur-yogyakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Melati II Tipe B Banyumanik Semarang,4.5,Rp800.000,Rp720.000,Sisa 1 kamar,Kecamatan Banyumanik
https://mamikos.com/room/kost-kota-semarang-kost-putri-eksklusif-kost-singgahsini-griya-54-tipe-a-semarang?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Ayomi Tipe C Tembalang Semarang,4.8,Rp1.325.000,Rp1.192.500,Sisa 1 kamar,Tembalang
https://mamikos.com/room/kost-kota-semarang-kost-putri-murah-kost-apik-diva-kalicari-tipe-a-pedurungan-semarang-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Sinergi Tipe B Yogyakarta,4.4,Rp800.000,Rp760.000,0,Ngemplak
https://mamikos.com/room/kost-surakarta-kost-putri-murah-kost-apik-la-tansa-tipe-c-jebres-surakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Sinergi Tipe C Yogyakarta,0,Rp700.000,Rp630.000,0,Ngemplak
https://mamikos.com/room/kost-surakarta-kost-putri-eksklusif-kost-singgahsini-eliska-ums-tipe-a-karangasem-surakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Omah Daysa Tipe A Yogyakarta,5.0,Rp1.700.000,Rp1.581.000,Sisa 2 kamar,Kecamatan Ngaglik
